protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.35,circuit4013.qasm,18,1.0,0,✗,"{'011': 14, '111': 18, '001': 8, '000': 12, '100': 16, '101': 14, '010': 12, '110': 6}"
FK12,malicious,0.35,circuit3926.qasm,24,1.0,0,✗,"{'011': 46, '111': 49, '100': 3, '000': 2}"
FK12,malicious,0.35,circuit6073.qasm,20,1.0,1,✓,"{'001': 31, '101': 50, '011': 4, '110': 4, '010': 7, '000': 2, '111': 2}"
FK12,malicious,0.35,circuit2622.qasm,20,0.0,0,✓,"{'111': 11, '011': 12, '101': 28, '110': 6, '001': 28, '010': 9, '000': 3, '100': 3}"
FK12,malicious,0.35,circuit4460.qasm,17,1.0,0,✗,"{'111': 15, '100': 40, '000': 38, '011': 7}"
FK12,malicious,0.35,circuit5351.qasm,23,0.0,0,✓,"{'010': 34, '001': 10, '011': 12, '101': 15, '110': 20, '111': 5, '100': 3, '000': 1}"
FK12,malicious,0.35,circuit3928.qasm,21,1.0,1,✓,"{'011': 31, '000': 12, '100': 11, '111': 46}"
FK12,malicious,0.35,circuit5594.qasm,18,0.0,1,✗,"{'110': 29, '000': 24, '010': 22, '111': 4, '100': 7, '011': 9, '001': 4, '101': 1}"
FK12,malicious,0.35,circuit3927.qasm,21,1.0,1,✓,"{'011': 20, '101': 38, '001': 22, '111': 9, '110': 9, '000': 1, '010': 1}"
FK12,malicious,0.35,circuit4065.qasm,19,0.0,0,✓,"{'011': 23, '000': 5, '100': 9, '001': 4, '101': 9, '010': 20, '111': 16, '110': 14}"
FK12,malicious,0.35,circuit0338.qasm,20,,0,✗,"{'110': 14, '111': 11, '101': 10, '011': 16, '001': 5, '000': 26, '100': 15, '010': 3}"
FK12,malicious,0.35,circuit9699.qasm,17,1.0,1,✓,"{'111': 38, '101': 8, '100': 9, '001': 12, '000': 3, '011': 19, '110': 6, '010': 5}"
FK12,malicious,0.35,circuit6984.qasm,18,1.0,1,✓,"{'110': 48, '001': 6, '010': 25, '100': 6, '101': 8, '000': 7}"
FK12,malicious,0.35,circuit9745.qasm,18,1.0,1,✓,"{'101': 31, '011': 14, '001': 22, '010': 6, '111': 20, '110': 3, '100': 2, '000': 2}"
FK12,malicious,0.35,circuit7117.qasm,16,1.0,1,✓,"{'111': 39, '100': 6, '001': 12, '011': 29, '110': 1, '101': 10, '000': 3}"
FK12,malicious,0.35,circuit7303.qasm,25,0.0,0,✓,"{'111': 11, '001': 43, '101': 33, '011': 13}"
FK12,malicious,0.35,circuit2890.qasm,16,0.0,0,✓,"{'001': 43, '101': 35, '100': 2, '010': 5, '111': 10, '110': 1, '011': 4}"
FK12,malicious,0.35,circuit8792.qasm,18,0.0,0,✓,"{'101': 23, '001': 44, '010': 10, '110': 16, '111': 3, '011': 3, '000': 1}"
FK12,malicious,0.35,circuit7116.qasm,22,0.0,0,✓,"{'111': 17, '000': 9, '110': 17, '011': 22, '010': 20, '001': 7, '100': 6, '101': 2}"
FK12,malicious,0.35,circuit3701.qasm,17,1.0,1,✓,"{'011': 18, '000': 15, '001': 6, '100': 24, '111': 18, '101': 8, '110': 7, '010': 4}"
FK12,malicious,0.35,circuit2994.qasm,23,1.0,1,✓,"{'101': 38, '110': 18, '010': 13, '001': 25, '011': 1, '000': 3, '100': 2}"
FK12,malicious,0.35,circuit6300.qasm,16,1.0,1,✓,"{'111': 8, '100': 8, '110': 22, '010': 9, '101': 21, '000': 9, '011': 15, '001': 8}"
FK12,malicious,0.35,circuit3915.qasm,13,,1,✗,"{'100': 22, '010': 23, '000': 21, '110': 21, '001': 3, '111': 4, '011': 3, '101': 3}"
FK12,malicious,0.35,circuit2758.qasm,17,0.0,0,✓,"{'000': 40, '110': 6, '100': 24, '010': 4, '011': 9, '111': 11, '001': 3, '101': 3}"
FK12,malicious,0.35,circuit4577.qasm,17,1.0,1,✓,"{'100': 10, '001': 16, '011': 11, '010': 7, '111': 34, '110': 10, '101': 7, '000': 5}"
FK12,malicious,0.35,circuit2912.qasm,17,1.0,0,✗,"{'000': 29, '110': 25, '001': 5, '100': 18, '101': 7, '111': 7, '010': 7, '011': 2}"
FK12,malicious,0.35,circuit3825.qasm,17,1.0,1,✓,"{'011': 12, '001': 12, '101': 24, '000': 17, '100': 21, '110': 6, '111': 6, '010': 2}"
FK12,malicious,0.35,circuit8166.qasm,25,0.0,0,✓,"{'100': 35, '110': 5, '000': 43, '111': 2, '011': 5, '010': 8, '001': 2}"
FK12,malicious,0.35,circuit6162.qasm,25,1.0,1,✓,"{'001': 20, '110': 31, '100': 5, '000': 7, '010': 12, '101': 7, '011': 6, '111': 12}"
FK12,malicious,0.35,circuit7892.qasm,19,1.0,1,✓,"{'111': 5, '001': 22, '011': 9, '010': 11, '100': 2, '101': 43, '110': 7, '000': 1}"
FK12,malicious,0.35,circuit0138.qasm,17,1.0,1,✓,"{'110': 41, '010': 23, '000': 21, '100': 15}"
FK12,malicious,0.35,circuit6783.qasm,21,0.0,0,✓,"{'001': 22, '111': 6, '010': 6, '100': 19, '011': 3, '000': 31, '101': 7, '110': 6}"
FK12,malicious,0.35,circuit2788.qasm,18,1.0,1,✓,"{'010': 26, '110': 41, '111': 3, '001': 13, '011': 7, '101': 5, '100': 3, '000': 2}"
FK12,malicious,0.35,circuit4214.qasm,21,1.0,1,✓,"{'101': 33, '010': 24, '001': 12, '110': 13, '011': 5, '000': 3, '100': 8, '111': 2}"
FK12,malicious,0.35,circuit4346.qasm,21,1.0,1,✓,"{'111': 42, '011': 31, '100': 11, '000': 16}"
FK12,malicious,0.35,circuit8996.qasm,20,0.0,0,✓,"{'101': 17, '001': 24, '011': 21, '100': 7, '111': 12, '010': 6, '110': 6, '000': 7}"
FK12,malicious,0.35,circuit4963.qasm,17,0.0,0,✓,"{'101': 17, '110': 23, '010': 34, '001': 9, '100': 5, '111': 4, '000': 7, '011': 1}"
FK12,malicious,0.35,circuit2069.qasm,23,,1,✗,"{'000': 33, '100': 39, '101': 6, '001': 6, '011': 9, '010': 2, '111': 5}"
FK12,malicious,0.35,circuit8043.qasm,16,1.0,1,✓,"{'110': 43, '101': 9, '010': 34, '001': 6, '100': 3, '111': 1, '011': 1, '000': 3}"
FK12,malicious,0.35,circuit6756.qasm,18,0.0,0,✓,"{'010': 41, '101': 5, '100': 9, '001': 5, '011': 5, '110': 19, '000': 9, '111': 7}"
FK12,malicious,0.35,circuit7253.qasm,19,,1,✗,"{'010': 20, '000': 24, '110': 30, '011': 1, '001': 5, '100': 8, '111': 3, '101': 9}"
FK12,malicious,0.35,circuit5450.qasm,20,1.0,0,✗,"{'111': 38, '100': 14, '011': 37, '000': 11}"
FK12,malicious,0.35,circuit6034.qasm,18,1.0,1,✓,"{'011': 49, '111': 51}"
FK12,malicious,0.4,circuit5463.qasm,17,0.0,0,✓,"{'011': 38, '100': 23, '000': 18, '111': 21}"
FK12,malicious,0.4,circuit8843.qasm,18,0.0,1,✗,"{'111': 12, '011': 20, '100': 35, '000': 33}"
FK12,malicious,0.4,circuit2875.qasm,16,,1,✗,"{'011': 19, '000': 6, '101': 17, '001': 17, '010': 8, '110': 6, '111': 22, '100': 5}"
FK12,malicious,0.4,circuit5231.qasm,20,0.0,0,✓,"{'001': 46, '101': 36, '000': 12, '100': 6}"
FK12,malicious,0.4,circuit6764.qasm,19,0.0,0,✓,"{'000': 48, '100': 31, '011': 9, '111': 12}"
FK12,malicious,0.4,circuit9941.qasm,16,0.0,0,✓,"{'011': 15, '010': 29, '111': 18, '110': 17, '100': 5, '000': 5, '001': 6, '101': 5}"
FK12,malicious,0.4,circuit2569.qasm,27,,1,✗,"{'111': 31, '101': 11, '001': 11, '000': 14, '100': 6, '011': 22, '010': 3, '110': 2}"
FK12,malicious,0.4,circuit8872.qasm,20,0.0,0,✓,"{'010': 15, '100': 30, '110': 19, '000': 36}"
FK12,malicious,0.4,circuit0970.qasm,22,1.0,0,✗,"{'110': 33, '010': 26, '001': 4, '100': 12, '000': 13, '011': 5, '101': 5, '111': 2}"
FK12,malicious,0.4,circuit0389.qasm,21,1.0,1,✓,"{'000': 21, '110': 44, '010': 15, '100': 13, '101': 3, '011': 3, '001': 1}"
FK12,malicious,0.4,circuit9534.qasm,23,1.0,1,✓,"{'001': 20, '010': 3, '101': 18, '000': 10, '100': 19, '110': 12, '011': 5, '111': 13}"
FK12,malicious,0.4,circuit7354.qasm,20,1.0,1,✓,"{'011': 9, '010': 33, '110': 53, '111': 5}"
FK12,malicious,0.4,circuit6467.qasm,22,1.0,1,✓,"{'101': 17, '100': 16, '011': 13, '010': 11, '111': 15, '000': 12, '110': 9, '001': 7}"
FK12,malicious,0.4,circuit0874.qasm,23,0.0,0,✓,"{'100': 20, '001': 16, '111': 11, '000': 30, '110': 5, '101': 12, '011': 4, '010': 2}"
FK12,malicious,0.4,circuit2595.qasm,23,1.0,0,✗,"{'100': 12, '111': 32, '101': 6, '010': 1, '011': 34, '001': 3, '000': 9, '110': 3}"
FK12,malicious,0.4,circuit0736.qasm,21,,0,✗,"{'001': 8, '111': 14, '100': 24, '011': 15, '000': 22, '101': 5, '110': 7, '010': 5}"
FK12,malicious,0.4,circuit7844.qasm,21,1.0,1,✓,"{'111': 11, '110': 18, '010': 15, '101': 15, '001': 15, '100': 11, '000': 12, '011': 3}"
FK12,malicious,0.4,circuit9496.qasm,27,0.0,1,✗,"{'100': 8, '111': 29, '010': 5, '011': 25, '101': 5, '000': 15, '001': 10, '110': 3}"
FK12,malicious,0.4,circuit7404.qasm,24,1.0,1,✓,"{'111': 43, '100': 11, '011': 31, '000': 15}"
FK12,malicious,0.4,circuit1761.qasm,21,1.0,1,✓,"{'101': 42, '011': 22, '001': 17, '111': 19}"
FK12,malicious,0.4,circuit0614.qasm,27,1.0,1,✓,"{'001': 13, '010': 30, '110': 34, '100': 2, '011': 5, '111': 7, '000': 1, '101': 8}"
FK12,malicious,0.4,circuit3217.qasm,18,1.0,1,✓,"{'100': 19, '111': 26, '011': 31, '110': 5, '000': 13, '001': 2, '010': 3, '101': 1}"
FK12,malicious,0.4,circuit6682.qasm,25,1.0,1,✓,"{'000': 15, '111': 39, '100': 12, '011': 34}"
FK12,malicious,0.4,circuit4894.qasm,18,0.0,0,✓,"{'010': 45, '110': 29, '001': 16, '101': 10}"
FK12,malicious,0.4,circuit9992.qasm,23,0.0,0,✓,"{'100': 14, '011': 8, '010': 19, '000': 13, '110': 16, '001': 17, '101': 6, '111': 7}"
FK12,malicious,0.4,circuit7338.qasm,23,0.0,1,✗,"{'001': 1, '110': 12, '100': 9, '011': 19, '111': 26, '000': 17, '010': 14, '101': 2}"
FK12,malicious,0.4,circuit1233.qasm,18,0.0,0,✓,"{'010': 14, '001': 4, '111': 21, '000': 19, '110': 9, '100': 6, '011': 22, '101': 5}"
FK12,malicious,0.4,circuit9978.qasm,20,1.0,1,✓,"{'111': 38, '011': 16, '101': 12, '001': 24, '000': 3, '100': 4, '110': 1, '010': 2}"
FK12,malicious,0.4,circuit1952.qasm,17,1.0,1,✓,"{'111': 41, '011': 28, '110': 16, '010': 15}"
FK12,malicious,0.4,circuit8928.qasm,18,0.0,0,✓,"{'011': 9, '001': 36, '110': 10, '101': 21, '111': 12, '100': 2, '000': 3, '010': 7}"
