protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.6,circuit5951.qasm,35,None,0,✗,"{'110': 13, '100': 21, '111': 19, '010': 13, '000': 8, '101': 9, '001': 10, '011': 7}"
FK12,malicious,0.6,circuit3825.qasm,32,None,1,✗,"{'101': 25, '000': 16, '111': 6, '100': 18, '011': 6, '010': 4, '001': 17, '110': 8}"
FK12,malicious,0.6,circuit2468.qasm,27,None,1,✗,"{'111': 44, '011': 47, '110': 4, '010': 5}"
FK12,malicious,0.6,circuit8166.qasm,35,None,0,✗,"{'100': 38, '000': 35, '010': 10, '111': 5, '001': 1, '011': 5, '110': 6}"
FK12,malicious,0.6,circuit0453.qasm,34,None,0,✗,"{'111': 24, '010': 2, '101': 17, '011': 24, '001': 21, '000': 6, '100': 2, '110': 4}"
FK12,malicious,0.6,circuit5996.qasm,33,None,1,✗,"{'110': 26, '010': 23, '000': 16, '100': 24, '001': 3, '011': 3, '101': 2, '111': 3}"
FK12,malicious,0.6,circuit6162.qasm,30,None,1,✗,"{'110': 19, '101': 18, '001': 11, '000': 7, '100': 6, '010': 24, '011': 10, '111': 5}"
FK12,malicious,0.6,circuit5293.qasm,38,None,1,✗,"{'111': 24, '100': 27, '000': 37, '011': 12}"
FK12,malicious,0.6,circuit9009.qasm,31,None,0,✗,"{'101': 39, '001': 29, '010': 12, '011': 7, '110': 6, '000': 1, '100': 2, '111': 4}"
FK12,malicious,0.6,circuit4361.qasm,29,None,0,✗,"{'100': 48, '011': 13, '111': 17, '000': 22}"
FK12,malicious,0.6,circuit7892.qasm,39,None,1,✗,"{'111': 6, '001': 42, '000': 4, '101': 25, '110': 10, '011': 2, '010': 8, '100': 3}"
FK12,malicious,0.6,circuit5525.qasm,31,None,1,✗,"{'100': 17, '110': 30, '010': 29, '000': 24}"
FK12,malicious,0.6,circuit0138.qasm,28,None,1,✗,"{'110': 27, '010': 40, '100': 20, '000': 13}"
FK12,malicious,0.6,circuit6783.qasm,25,None,0,✗,"{'001': 24, '011': 10, '101': 18, '010': 8, '100': 13, '111': 8, '110': 6, '000': 13}"
FK12,malicious,0.6,circuit7085.qasm,38,None,0,✗,"{'000': 16, '011': 26, '100': 16, '111': 42}"
FK12,malicious,0.6,circuit2788.qasm,28,None,1,✗,"{'010': 42, '101': 12, '110': 27, '100': 1, '111': 3, '001': 8, '011': 6, '000': 1}"
FK12,malicious,0.6,circuit4214.qasm,22,None,1,✗,"{'001': 29, '010': 13, '011': 2, '101': 21, '000': 8, '100': 5, '110': 20, '111': 2}"
FK12,malicious,0.6,circuit4346.qasm,37,None,1,✗,"{'000': 10, '100': 9, '111': 49, '011': 32}"
FK12,malicious,0.6,circuit8996.qasm,27,None,0,✗,"{'111': 24, '110': 10, '101': 22, '001': 14, '010': 6, '011': 14, '100': 5, '000': 5}"
FK12,malicious,0.6,circuit4963.qasm,27,None,0,✗,"{'010': 19, '001': 19, '000': 3, '110': 33, '100': 5, '101': 12, '011': 7, '111': 2}"
FK12,malicious,0.6,circuit2069.qasm,26,None,1,✗,"{'100': 25, '111': 13, '000': 43, '011': 5, '101': 4, '010': 2, '001': 7, '110': 1}"
FK12,malicious,0.6,circuit8043.qasm,29,None,1,✗,"{'010': 42, '101': 5, '110': 30, '100': 8, '000': 5, '111': 2, '001': 7, '011': 1}"
FK12,malicious,0.6,circuit6756.qasm,30,None,0,✗,"{'010': 31, '110': 37, '111': 7, '101': 6, '001': 4, '011': 5, '000': 6, '100': 4}"
FK12,malicious,0.6,circuit7253.qasm,28,None,1,✗,"{'110': 29, '010': 36, '000': 7, '100': 15, '111': 4, '001': 7, '101': 1, '011': 1}"
FK12,malicious,0.6,circuit5450.qasm,19,None,0,✗,"{'111': 41, '100': 11, '000': 12, '011': 36}"
FK12,malicious,0.6,circuit7443.qasm,23,None,0,✗,"{'001': 10, '101': 9, '010': 30, '110': 37, '000': 5, '100': 5, '111': 2, '011': 2}"
FK12,malicious,0.6,circuit1112.qasm,36,None,1,✗,"{'000': 39, '011': 8, '100': 26, '001': 3, '111': 8, '010': 4, '101': 2, '110': 10}"
FK12,malicious,0.6,circuit6034.qasm,28,1,1,✓,"{'011': 48, '111': 52}"
